Date,PM2.5
2015-11-12,11.4
2015-11-11,3.8
2015-11-10,2.9
2015-11-09,10.3
2015-11-08,4.5
2015-11-07,4.9
2015-11-06,9.2
2015-11-05,21.1
2015-11-04,17
2015-11-03,14.2
2015-11-02,10.1
2015-11-01,12.7
2015-10-31,6.4
2015-10-30,4.2
2015-10-29,3.9
2015-10-28,4.1
2015-10-27,6.2
2015-10-26,4.5
2015-10-25,3.7
2015-10-24,4.5
2015-10-23,6.2
2015-10-22,15.2
2015-10-21,
2015-10-20,
2015-10-19,4.5
2015-10-18,2.9
2015-10-17,3.1
2015-10-16,5.3
2015-10-15,4.7
2015-10-14,4.3
2015-10-13,8
2015-10-12,9.2
2015-10-11,7
2015-10-10,4.9
2015-10-09,10.1
2015-10-08,12.8
2015-10-07,7.6
2015-10-06,6.7
2015-10-05,6
2015-10-04,4.6
2015-10-03,1.4
2015-10-02,2.2
2015-10-01,2.3
2015-09-30,2.1
2015-09-29,6.4
2015-09-28,6.2
2015-09-27,4.4
2015-09-26,4.5
2015-09-25,5.7
2015-09-24,6.9
2015-09-23,6.5
2015-09-22,5.7
2015-09-21,3.6
2015-09-20,2.9
2015-09-19,9
2015-09-18,12.8
2015-09-17,14.9
2015-09-16,12.7
2015-09-15,9.7
2015-09-14,5.7
2015-09-13,3.2
2015-09-12,7.8
2015-09-11,6.1
2015-09-10,7.5
2015-09-09,7.4
2015-09-08,7.4
2015-09-07,8.2
2015-09-06,5
2015-09-05,9.7
2015-09-04,22.6
2015-09-03,21.9
2015-09-02,21.8
2015-09-01,18.3
