Neighborhood,Code,Square,Weight,mg.ml,ppb,Al,Al_Percent,Al_per_day,Al_ppb,Al_ppb_day,Cr,Cr_Percent,Cr_ppb,Cr_ppb_day,Fe,Fe_Percent,Fe_per_day,Fe_Ppb,Fe_ppb_day,Pb,Pb_Percent,Pb_per_day,Pb_ppb,Pb_ppb_day,Ni,Ni_Percent,Ni_ppb,Ni_ppb_day,Area,Density,AADT_max,AADT_sum,AADT_mean,AADT_median,NB,Eastalco_dist_m,Gd_dist_m,Ngc_dist_m,Bmoreterminal_dist_m,Adell_dist_m,Prince_dist_m,Sd_dist_m,Sng_dist_m,Usg_dist_m,Kemira_dist_m
CB,10382,10,20.31,6.77,6770000,789,0.0116579,0.000485746,116579,4857,BLQ,NA,NA,NA,511,0.0075426,0.000314275,75426,3143,514,0.0075918,0.000316325,75918,3163,BLQ,NA,NA,NA,194.292,7.040948675,11232,24392,8130.666667,7840,CB,12096164.19,11142253.83,9248073.262,9712341.413,11838019.28,13316756.94,12862194.63,16819798.49,11334557.75,13932351.43
CB,10392,10,20.83,6.943333333,6943333.333,510,0.007338,0.00030575,73380,3058,BLQ,NA,NA,NA,362,0.0052149,0.000217288,52149,2173,354,0.0050977,0.000212404,50977,2124,BLQ,NA,NA,NA,194.292,7.040948675,11232,24392,8130.666667,7840,CB,12096164.19,11142253.83,9248073.262,9712341.413,11838019.28,13316756.94,12862194.63,16819798.49,11334557.75,13932351.43
CB,10402,10,5.58,1.86,1860000,216,0.0116317,0.000484654,116317,4847,BLQ,NA,NA,NA,149,0.007997,0.000333208,79970,3332,113,0.0060895,0.000253729,60895,2537,BLQ,NA,NA,NA,194.292,7.040948675,11232,24392,8130.666667,7840,CB,12096164.19,11142253.83,9248073.262,9712341.413,11838019.28,13316756.94,12862194.63,16819798.49,11334557.75,13932351.43
CB,10412,10,15.8,5.266666667,5266666.667,506,0.0096082,0.000400342,96082,4003,BLQ,NA,NA,NA,352,0.006685,0.000278542,66850,2785,147,0.0027873,0.000116138,27873,1161,26,0.000502969,5029.694049,209.5705854,194.292,7.040948675,11232,24392,8130.666667,7840,CB,12096164.19,11142253.83,9248073.262,9712341.413,11838019.28,13316756.94,12862194.63,16819798.49,11334557.75,13932351.43
CB,10422,10,21.22,7.073333333,7073333.333,706,0.0099864,0.0004161,99864,4161,BLQ,NA,NA,NA,504,0.0071248,0.000296867,71248,2969,353,0.0049917,0.000207988,49917,2080,BLQ,NA,NA,NA,194.292,7.040948675,11232,24392,8130.666667,7840,CB,12096164.19,11142253.83,9248073.262,9712341.413,11838019.28,13316756.94,12862194.63,16819798.49,11334557.75,13932351.43
BK,12052,12,0.38,0.126666667,126666.6667,150,0.1180626,0.004372689,1180626,43727,BLQ,NA,NA,NA,34,0.0265502,0.000983341,265502,9833,BLQ,NA,NA,NA,NA,BLQ,NA,NA,NA,194.292,7.040948675,2971,7793,2597.666667,2921,BK,17957406.84,5756087.481,1773391.943,8925313.945,10670251.15,16650046.61,6697954.715,10023883.2,5086284.986,18467038.18
BK,12062,12,0.68,0.226666667,226666.6667,67,0.029766,0.001102444,297660,11024,BLQ,NA,NA,NA,847,0.3736921,0.013840448,3736921,138404,7,0.0028851,0.000106856,28851,1069,BLQ,NA,NA,NA,194.292,7.040948675,2971,7793,2597.666667,2921,BK,17957406.84,5756087.481,1773391.943,8925313.945,10670251.15,16650046.61,6697954.715,10023883.2,5086284.986,18467038.18
BK,12072,12,0.3,0.1,1.00E+05,58,0.0577362,0.002138378,577362,21384,BLQ,NA,NA,NA,BLQ,NA,NA,NA,NA,BLQ,NA,NA,NA,NA,BLQ,NA,NA,NA,194.292,7.040948675,2971,7793,2597.666667,2921,BK,17957406.84,5756087.481,1773391.943,8925313.945,10670251.15,16650046.61,6697954.715,10023883.2,5086284.986,18467038.18
BK,12082,12,3.93,1.31,1310000,138,0.0105159,0.000389478,105159,3895,BLQ,NA,NA,NA,93,0.0071175,0.000263611,71175,2636,18,0.0013497,5.00E-05,13497,500,BLQ,NA,NA,NA,194.292,7.040948675,2971,7793,2597.666667,2921,BK,17957406.84,5756087.481,1773391.943,8925313.945,10670251.15,16650046.61,6697954.715,10023883.2,5086284.986,18467038.18
BK,12212,12,1.74,0.58,580000,111,0.0191766,0.000710244,191766,7102,BLQ,NA,NA,NA,52,0.0088978,0.000329548,88978,3295,7,0.0011395,4.22E-05,11395,422,BLQ,NA,NA,NA,194.292,7.040948675,2971,7793,2597.666667,2921,BK,17957406.84,5756087.481,1773391.943,8925313.945,10670251.15,16650046.61,6697954.715,10023883.2,5086284.986,18467038.18
