,tablepb.comparisons,tablepb.Z,tablepb.P.adjusted
48,22-Dec,-0.889826727,0.186779466
430,59 - 73,-0.876137085,0.190477757
277,6-Jan,0.872570519,0.191448608
325,7-Jun,-0.870661228,0.191969577
261,19 - 59,-0.865808979,0.193297462
319,43 - 7,-0.863926891,0.193814027
154,Jan-43,0.858435521,0.19532601
396,42 - 72,0.850837089,0.197429928
208,42 - 56,0.848492799,0.198081791
312,23 - 7,0.846019873,0.198770829
463,71 - 9,0.846019873,0.198770829
25,13 - 19,-0.844862772,0.199093731
374,58 - 71,-0.837806088,0.20106981
44,19 - 21,0.82251853,0.205390923
349,59 - 70,-0.82251853,0.205390923
107,Oct-33,0.822214405,0.205477441
198,19 - 56,0.79588522,0.213049376
73,18 - 3,-0.783640832,0.216625445
386,19 - 72,0.770569991,0.220480927
150,31 - 42,0.769015154,0.220942157
418,23 - 73,-0.767145005,0.221497653
109,13 - 33,-0.753029862,0.225715985
115,21 - 33,-0.749345875,0.226824382
254,Jan-59,-0.744716522,0.228221554
19,13 - 18,-0.734816319,0.231225684
377,Jul-71,-0.73466328,0.231272294
337,23 - 70,-0.722813095,0.23489736
434,71 - 73,-0.722813095,0.23489736
289,6-Mar,0.719850362,0.235808566
166,Mar-43,0.712450845,0.23809282
43,18 - 21,0.711861382,0.238275309
249,42 - 58,-0.709963362,0.238863428
437,9-Oct,-0.7018502,0.241386294
378,70 - 71,0.701305273,0.241556262
85,18 - 31,-0.688279631,0.245638353
276,58 - 59,-0.684482098,0.246835395
206,33 - 56,0.679563534,0.248390433
428,57 - 73,-0.679563534,0.248390433
197,18 - 56,0.674831313,0.249891472
238,18 - 58,-0.674831313,0.249891472
411,14 - 73,-0.666770892,0.252459244
394,33 - 72,0.664514267,0.253180611
455,55 - 9,-0.659601313,0.254754856
287,22 - 6,-0.654427889,0.256418086
459,59 - 9,0.654364885,0.256438376
347,57 - 70,-0.652540056,0.257026421
330,14 - 70,-0.6461511,0.259090752
385,18 - 72,0.6461511,0.259090752
142,15 - 42,0.643826641,0.259843928
270,41 - 59,0.643413172,0.259978019
302,7-Oct,-0.632461458,0.263542693
49,13 - 22,-0.627338205,0.265218783
54,20 - 22,0.627338205,0.265218783
320,55 - 7,-0.624247673,0.266232471
151,32 - 42,0.617000531,0.268617188
444,20 - 9,-0.605829466,0.272314
55,21 - 22,-0.602344246,0.273472507
1,10-Jan,0.597521116,0.275079757
167,31 - 43,0.590174421,0.27753686
290,31 - 6,0.588036654,0.278253845
21,15 - 18,0.587905518,0.278297856
164,22 - 43,-0.581232384,0.280541922
