Square,mg.ml,Al_per_day,Fe_per_day,Pb_per_day,Density,AADT_max,AADT_sum,AADT_mean,Gd_dist_m,Bmoreterminal_dist_m,Adell_dist_m,Sng_dist_m,Usg_dist_m,Kemira_dist_m,Ngc_dist_m,Prince_dist_m,Sd_dist_m,Eastalco_dist_m
10,1.86,0.000484654,0.000333208,0.000253729,7.040948675,11232,24392,8130.666667,11142253.83,9712341.413,11838019.28,16819798.49,11334557.75,13932351.43,9248073.262,13316756.94,12862194.63,12096164.19
15,5.173333333,0.000403471,0.000360021,0.000257163,7.040948675,7840,13160,6580,11313858.29,10354611.69,8980151.213,6193949.009,11568140.38,2414759.591,14404649.26,4362652.167,9895693.597,4799384.517
9,2.84,0.000453025,0.000325763,0.000257363,7.040949,11232,14123,7061.5,12596014.71,16456356.19,3812365.711,12383369.11,11518141.52,13119525.38,7634652.535,9387291.291,12395444.71,10410970.65
6,8.473333333,0.000272458,0.000466654,0.000260725,0.049604158,7840,13160,6580,12142333.06,13872979.96,4907448.373,6650686.734,11620062.72,5859469.878,11910743.64,4027585.722,10378226.76,5786518.605
31,6.6,0.000407073,0.000167532,0.000264818,23.11399401,2971,2971,2971,8240461.73,12716765.03,5572540.976,6232096.922,7174069.193,11848831.62,5758208.815,9911088.704,7070849.791,11751390.44
3,2.12,0.000622988,0.000581471,0.000290788,0.04960416,12970,26130,8710,878900.5496,5509586.192,12936761.35,5450613.029,292888.1539,13238666.41,4382883.45,15288275.83,1515678.066,16198512.63
1,1.7,0.000794054,0.000691038,0.000291329,0.049604158,12970,12970,12970,8563819.815,5179829.397,16597002.01,13069308.25,9422406.153,11685275.92,10302787.69,14080557,10172178.03,12240100.31
1,6.743333333,0.000378704,0.000377108,0.000297208,0.049604158,12970,12970,12970,8563819.815,5179829.397,16597002.01,13069308.25,9422406.153,11685275.92,10302787.69,14080557,10172178.03,12240100.31
57,4.506666667,0.000538618,0.000349755,0.000306991,16.00025481,15830,32322,10774,18280510.36,14765704.26,7042568.634,16048882.92,18073973.96,8472781.668,14106540,6246287.196,19535915.11,5512915.229
57,1.93,0.000326695,0.000250177,0.000307827,16.00025481,15830,32322,10774,18280510.36,14765704.26,7042568.634,16048882.92,18073973.96,8472781.668,14106540,6246287.196,19535915.11,5512915.229
10,6.77,0.000485746,0.000314275,0.000316325,7.040948675,11232,24392,8130.666667,11142253.83,9712341.413,11838019.28,16819798.49,11334557.75,13932351.43,9248073.262,13316756.94,12862194.63,12096164.19
3,1.536666667,0.000783533,0.000498317,0.000329725,0.04960416,12970,26130,8710,878900.5496,5509586.192,12936761.35,5450613.029,292888.1539,13238666.41,4382883.45,15288275.83,1515678.066,16198512.63
15,1.636666667,0.000464588,0.000402183,0.000343913,7.040948675,7840,13160,6580,11313858.29,10354611.69,8980151.213,6193949.009,11568140.38,2414759.591,14404649.26,4362652.167,9895693.597,4799384.517
14,5.23,0.000347479,0.000264908,0.000371688,7.040948675,2891,2891,2891,10229742.08,5609482.069,15658134.84,11227654.03,11371706.76,6968771.301,14296676.65,9976308.355,10958289.85,8295174.519
71,0.466666667,0.000740423,0.000646918,0.000372186,13.52894734,64785,183858,16714.36364,9144066.087,9012138.056,9843512.735,4047458.74,9356847.658,4405337.127,12420139.32,6409635.739,7685206.328,7010408.142
23,7.59,0.000203663,0.000118725,0.000383954,14.49246351,7840,13160,6580,2575598.397,5665940.749,13441919.98,8004069.081,2463818.331,15391228.02,3452171.247,17794603.58,4065983.924,18527180.51
15,1.706666667,0.000670604,0.00057495,0.0004026,7.040948675,7840,13160,6580,11313858.29,10354611.69,8980151.213,6193949.009,11568140.38,2414759.591,14404649.26,4362652.167,9895693.597,4799384.517
71,31.39333333,0.000199464,0.000175927,0.000403236,13.52894734,64785,183858,16714.36364,9144066.087,9012138.056,9843512.735,4047458.74,9356847.658,4405337.127,12420139.32,6409635.739,7685206.328,7010408.142
31,1.29,0.000356086,0.000214791,0.000409464,23.11399401,2971,2971,2971,8240461.73,12716765.03,5572540.976,6232096.922,7174069.193,11848831.62,5758208.815,9911088.704,7070849.791,11751390.44
58,0.073333333,0.003140818,NA,0.000412473,10.26783045,15830,15830,15830,17343381.18,12831734.68,8838100.75,15518014.76,18303143.06,7112964.724,15909473.3,6094413.392,18262927.75,4712486.6
