"Date","PM2.5","Yr.x","Site","combo.x","mo.x","Fe","Pb","Al","Yr.y","mo.y","combo.y","Alper","Feper","Pbper"
2017-11-15,7.9,"17","HU","17-11","11",0.14,0.001,0.02,"17","11","17-11",0.253164556962025,1.77215189873418,0.0126582278481013
2017-11-03,6.2,"17","HU","17-11","11",0.19,0.002,0.011,"17","11","17-11",0.17741935483871,3.06451612903226,0.032258064516129
2017-10-22,6.2,"17","HU","17-10","10",0.122,0.009,0.044,"17","10","17-10",0.709677419354839,1.96774193548387,0.145161290322581
2017-10-10,5.3,"17","HU","17-10","10",0.085,0.004,0.024,"17","10","17-10",0.452830188679245,1.60377358490566,0.0754716981132076
2017-09-28,6.7,"17","HU","17-09","09",0.094,0,0,"17","09","17-09",0,1.40298507462687,0
2017-09-16,8.2,"17","HU","17-09","09",0.104,0,0,"17","09","17-09",0,1.26829268292683,0
2017-09-04,11.2,"17","HU","17-09","09",0.027,0,0.037,"17","09","17-09",0.330357142857143,0.241071428571429,0
2018-11-28,2.8,"18","HU","18-11","11",0.053,0,0.011,"18","11","18-11",0.392857142857143,1.89285714285714,0
2018-11-25,5.8,"18","HU","18-11","11",0.032,0.008,0,"18","11","18-11",0,0.551724137931034,0.137931034482759
2018-11-22,2.8,"18","HU","18-11","11",0.014,0.007,0,"18","11","18-11",0,0.5,0.25
2018-11-19,13.3,"18","HU","18-11","11",0.075,0.012,0,"18","11","18-11",0,0.56390977443609,0.0902255639097744
2018-11-16,3,"18","HU","18-11","11",0.089,0.002,0.004,"18","11","18-11",0.133333333333333,2.96666666666667,0.0666666666666667
2018-11-13,4.2,"18","HU","18-11","11",0.151,0,0,"18","11","18-11",0,3.59523809523809,0
2018-11-10,2.5,"18","HU","18-11","11",0.022,0,0.007,"18","11","18-11",0.28,0.88,0
2018-11-07,4.5,"18","HU","18-11","11",0.112,0,0.02,"18","11","18-11",0.444444444444444,2.48888888888889,0
2018-11-04,4.6,"18","HU","18-11","11",0.024,0.002,0,"18","11","18-11",0,0.521739130434783,0.0434782608695652
2018-11-01,8.2,"18","HU","18-11","11",0.053,0.005,0.064,"18","11","18-11",0.780487804878049,0.646341463414634,0.0609756097560976
2018-10-29,3,"18","HU","18-10","10",0.059,0.003,0.005,"18","10","18-10",0.166666666666667,1.96666666666667,0.1
2018-10-26,4.5,"18","HU","18-10","10",0.077,0.007,0,"18","10","18-10",0,1.71111111111111,0.155555555555556
2018-10-23,5.2,"18","HU","18-10","10",0.16,0,0.018,"18","10","18-10",0.346153846153846,3.07692307692308,0
2018-10-20,4.8,"18","HU","18-10","10",0.04,0.005,0,"18","10","18-10",0,0.833333333333333,0.104166666666667
2018-10-17,4.2,"18","HU","18-10","10",0.336,0.002,0.007,"18","10","18-10",0.166666666666667,8,0.0476190476190476
2018-10-14,4.7,"18","HU","18-10","10",0.03,0,0,"18","10","18-10",0,0.638297872340425,0
2018-10-11,3.9,"18","HU","18-10","10",0.103,0.006,0,"18","10","18-10",0,2.64102564102564,0.153846153846154
2018-10-08,7.5,"18","HU","18-10","10",0.042,0.005,0,"18","10","18-10",0,0.56,0.0666666666666667
2018-10-05,5.3,"18","HU","18-10","10",0.044,0.006,0.035,"18","10","18-10",0.660377358490566,0.830188679245283,0.113207547169811
2018-10-02,9.8,"18","HU","18-10","10",0.046,0,0.017,"18","10","18-10",0.173469387755102,0.469387755102041,0
2018-09-29,7.4,"18","HU","18-09","09",0.111,0.007,0,"18","09","18-09",0,1.5,0.0945945945945946
2018-09-26,5.7,"18","HU","18-09","09",0.085,0,0.03,"18","09","18-09",0.526315789473684,1.49122807017544,0
2018-09-23,3.4,"18","HU","18-09","09",0.02,0,0.004,"18","09","18-09",0.117647058823529,0.588235294117647,0
2018-09-20,6.6,"18","HU","18-09","09",0.039,0,0.016,"18","09","18-09",0.242424242424242,0.590909090909091,0
2018-09-17,3.4,"18","HU","18-09","09",0.01,0,0,"18","09","18-09",0,0.294117647058824,0
2018-09-14,4,"18","HU","18-09","09",0.011,0,0,"18","09","18-09",0,0.275,0
2018-09-11,3.7,"18","HU","18-09","09",0.034,0,0,"18","09","18-09",0,0.918918918918919,0
2018-09-08,4.4,"18","HU","18-09","09",0.032,0.011,0,"18","09","18-09",0,0.727272727272727,0.25
2018-09-05,12.9,"18","HU","18-09","09",0.12,0.006,0.006,"18","09","18-09",0.0465116279069767,0.930232558139535,0.0465116279069767
2018-09-02,4.9,"18","HU","18-09","09",0.02,0,0,"18","09","18-09",0,0.408163265306122,0
2018-11-22,2.8,"18","HU","18-11","11",0.014,0.007,0,"18","11","18-11",0,0.5,0.25
2018-11-10,2.5,"18","HU","18-11","11",0.022,0,0.007,"18","11","18-11",0.28,0.88,0
2018-10-29,2.8,"18","HU","18-10","10",0.059,0.003,0.005,"18","10","18-10",0.178571428571429,2.10714285714286,0.107142857142857
2018-10-17,4.6,"18","HU","18-10","10",0.336,0.002,0.007,"18","10","18-10",0.152173913043478,7.30434782608696,0.0434782608695652
2018-10-05,5.1,"18","HU","18-10","10",0.044,0.006,0.035,"18","10","18-10",0.686274509803922,0.862745098039216,0.117647058823529
2018-09-23,3.4,"18","HU","18-09","09",0.02,0,0.004,"18","09","18-09",0.117647058823529,0.588235294117647,0
2018-09-11,3.8,"18","HU","18-09","09",0.034,0,0,"18","09","18-09",0,0.894736842105263,0
2019-11-29,3.7,"19","HU","19-11","11",0.072,0.003,0.011,"19","11","19-11",0.297297297297297,1.94594594594595,0.0810810810810811
2019-11-26,8.8,"19","HU","19-11","11",0.169,0.009,0,"19","11","19-11",0,1.92045454545455,0.102272727272727
2019-11-23,3.1,"19","HU","19-11","11",0.023,0,0.004,"19","11","19-11",0.129032258064516,0.741935483870968,0
2019-11-20,15,"19","HU","19-11","11",0.255,0.008,0.016,"19","11","19-11",0.106666666666667,1.7,0.0533333333333333
2019-11-17,3.8,"19","HU","19-11","11",NA,NA,NA,"19","11","19-11",NA,NA,NA
2019-11-14,7,"19","HU","19-11","11",NA,NA,NA,"19","11","19-11",NA,NA,NA
2019-11-11,12.5,"19","HU","19-11","11",0.069,0.006,0,"19","11","19-11",0,0.552,0.048
2019-11-08,2.3,"19","HU","19-11","11",0.08,0.007,0,"19","11","19-11",0,3.47826086956522,0.304347826086957
2019-11-05,6.8,"19","HU","19-11","11",0.195,0.006,0.001,"19","11","19-11",0.0147058823529412,2.86764705882353,0.0882352941176471
2019-11-02,5.6,"19","HU","19-11","11",0.124,0,0.008,"19","11","19-11",0.142857142857143,2.21428571428571,0
2019-10-30,5.8,"19","HU","19-10","10",0.03,0,0,"19","10","19-10",0,0.517241379310345,0
2019-10-27,3.1,"19","HU","19-10","10",0.02,0.006,0.028,"19","10","19-10",0.903225806451613,0.645161290322581,0.193548387096774
2019-10-24,4.7,"19","HU","19-10","10",0.072,0,0.008,"19","10","19-10",0.170212765957447,1.53191489361702,0
2019-10-21,4,"19","HU","19-10","10",0.037,0.011,0,"19","10","19-10",0,0.925,0.275
2019-10-18,2.5,"19","HU","19-10","10",0.07,0.001,0.002,"19","10","19-10",0.08,2.8,0.04
2019-10-15,5.4,"19","HU","19-10","10",0.164,0,0.049,"19","10","19-10",0.907407407407407,3.03703703703704,0
2019-10-12,5.2,"19","HU","19-10","10",0.139,0,0.051,"19","10","19-10",0.980769230769231,2.67307692307692,0
2019-10-09,3.5,"19","HU","19-10","10",0.033,0.016,0,"19","10","19-10",0,0.942857142857143,0.457142857142857
2019-10-06,3.7,"19","HU","19-10","10",0.023,0,0,"19","10","19-10",0,0.621621621621622,0
2019-10-03,4.7,"19","HU","19-10","10",0.02,0.006,0.049,"19","10","19-10",1.04255319148936,0.425531914893617,0.127659574468085
2019-09-30,4,"19","HU","19-09","09",0.023,0.001,0,"19","09","19-09",0,0.575,0.025
2019-09-27,6,"19","HU","19-09","09",0.049,0,0.038,"19","09","19-09",0.633333333333333,0.816666666666667,0
2019-09-24,4.9,"19","HU","19-09","09",0.256,0,0.02,"19","09","19-09",0.408163265306122,5.22448979591837,0
2019-09-21,9,"19","HU","19-09","09",0.071,0.004,0.012,"19","09","19-09",0.133333333333333,0.788888888888889,0.0444444444444444
2019-09-18,5.7,"19","HU","19-09","09",0.073,0.009,0,"19","09","19-09",0,1.28070175438596,0.157894736842105
2019-09-12,9,"19","HU","19-09","09",0.123,0,0.033,"19","09","19-09",0.366666666666667,1.36666666666667,0
2019-09-09,7.2,"19","HU","19-09","09",0.082,0,0,"19","09","19-09",0,1.13888888888889,0
2019-09-06,6.3,"19","HU","19-09","09",0.045,0,0.023,"19","09","19-09",0.365079365079365,0.714285714285714,0
2019-09-03,5.7,"19","HU","19-09","09",0.081,0,0.045,"19","09","19-09",0.789473684210526,1.42105263157895,0
2019-11-29,3.5,"19","HU","19-11","11",0.072,0.003,0.011,"19","11","19-11",0.314285714285714,2.05714285714286,0.0857142857142857
2019-11-17,3.7,"19","HU","19-11","11",NA,NA,NA,"19","11","19-11",NA,NA,NA
2019-11-05,7.2,"19","HU","19-11","11",0.195,0.006,0.001,"19","11","19-11",0.0138888888888889,2.70833333333333,0.0833333333333333
2019-10-24,4.6,"19","HU","19-10","10",0.072,0,0.008,"19","10","19-10",0.173913043478261,1.56521739130435,0
2019-10-12,5.2,"19","HU","19-10","10",0.139,0,0.051,"19","10","19-10",0.980769230769231,2.67307692307692,0
2019-09-30,4,"19","HU","19-09","09",0.023,0.001,0,"19","09","19-09",0,0.575,0.025
2019-09-18,5.2,"19","HU","19-09","09",0.073,0.009,0,"19","09","19-09",0,1.40384615384615,0.173076923076923
2019-09-06,6.2,"19","HU","19-09","09",0.045,0,0.023,"19","09","19-09",0.370967741935484,0.725806451612903,0
2020-11-29,6.9,"20","HU","20-11","11",0.043,0.003,0.041,"20","11","20-11",0.594202898550725,0.623188405797101,0.0434782608695652
2020-11-26,5.2,"20","HU","20-11","11",0.034,0,0.029,"20","11","20-11",0.557692307692308,0.653846153846154,0
2020-11-23,4.7,"20","HU","20-11","11",0.082,0,0.012,"20","11","20-11",0.25531914893617,1.74468085106383,0
2020-11-20,8.1,"20","HU","20-11","11",0.104,0.01,0.035,"20","11","20-11",0.432098765432099,1.28395061728395,0.123456790123457
2020-11-17,2.6,"20","HU","20-11","11",0.079,0,0.016,"20","11","20-11",0.615384615384615,3.03846153846154,0
2020-11-14,6.8,"20","HU","20-11","11",0.085,0.009,0.01,"20","11","20-11",0.147058823529412,1.25,0.132352941176471
2020-11-02,1.6,"20","HU","20-11","11",0.039,0,0.017,"20","11","20-11",1.0625,2.4375,0
2020-10-30,1.2,"20","HU","20-10","10",0.031,0,0.017,"20","10","20-10",1.41666666666667,2.58333333333333,0
2020-10-27,6,"20","HU","20-10","10",0.084,0,0.037,"20","10","20-10",0.616666666666667,1.4,0
2020-10-24,3.8,"20","HU","20-10","10",0.016,0,0,"20","10","20-10",0,0.421052631578947,0
2020-10-21,5.6,"20","HU","20-10","10",0.035,0.004,0,"20","10","20-10",0,0.625,0.0714285714285714
2020-10-18,5.6,"20","HU","20-10","10",0.026,0.008,0,"20","10","20-10",0,0.464285714285714,0.142857142857143
2020-10-15,7.3,"20","HU","20-10","10",0.044,0.009,0,"20","10","20-10",0,0.602739726027397,0.123287671232877
2020-10-12,0.8,"20","HU","20-10","10",0.012,0.004,0,"20","10","20-10",0,1.5,0.5
2020-10-09,4.4,"20","HU","20-10","10",0.113,0,0.018,"20","10","20-10",0.409090909090909,2.56818181818182,0
2020-10-03,3.5,"20","HU","20-10","10",0.062,0,0.033,"20","10","20-10",0.942857142857143,1.77142857142857,0
2020-09-30,3,"20","HU","20-09","09",0.029,0.006,0,"20","09","20-09",0,0.966666666666667,0.2
2020-09-27,3.4,"20","HU","20-09","09",0.018,0.006,0,"20","09","20-09",0,0.529411764705882,0.176470588235294
2020-09-24,9.6,"20","HU","20-09","09",0.228,0.006,0.018,"20","09","20-09",0.1875,2.375,0.0625
2020-09-21,3.5,"20","HU","20-09","09",0.11,0.005,0.015,"20","09","20-09",0.428571428571429,3.14285714285714,0.142857142857143
2020-09-18,7.7,"20","HU","20-09","09",0.038,0,0.028,"20","09","20-09",0.363636363636364,0.493506493506493,0
2020-09-15,2.6,"20","HU","20-09","09",0.047,0,0.015,"20","09","20-09",0.576923076923077,1.80769230769231,0
2020-09-12,4.4,"20","HU","20-09","09",0.017,0,0.004,"20","09","20-09",0.0909090909090909,0.386363636363636,0
