"Date","PM2.5","Yr.x","Site","combo.x","mo.x","Fe","Pb","Al","Yr.y","mo.y","combo.y","Alper","Feper","Pbper"
2020-11-23,5.8,"20","ES","20-11","11",0.025,0,0.01411,"20","11","20-11",0.243275862068966,0.431034482758621,0
2020-11-17,3.8,"20","ES","20-11","11",0.052,0.005,0.01409,"20","11","20-11",0.370789473684211,1.36842105263158,0.131578947368421
2020-11-11,3.7,"20","ES","20-11","11",0.046,0.002,0.01458,"20","11","20-11",0.394054054054054,1.24324324324324,0.0540540540540541
2020-11-05,13.5,"20","ES","20-11","11",0.11,0.014,0.01417,"20","11","20-11",0.104962962962963,0.814814814814815,0.103703703703704
2020-10-30,3.1,"20","ES","20-10","10",0.016,0.002,0.01183,"20","10","20-10",0.381612903225806,0.516129032258065,0.0645161290322581
2020-10-24,5.2,"20","ES","20-10","10",0.015,0.002,0.01173,"20","10","20-10",0.225576923076923,0.288461538461538,0.0384615384615385
2020-10-18,8.7,"20","ES","20-10","10",0.041,0.004,0.01186,"20","10","20-10",0.13632183908046,0.471264367816092,0.0459770114942529
2020-10-12,1.2,"20","ES","20-10","10",0.007,0,0.01196,"20","10","20-10",0.996666666666667,0.583333333333333,0
2020-10-06,7.8,"20","ES","20-10","10",0.092,0,0.01284,"20","10","20-10",0.164615384615385,1.17948717948718,0
2020-09-30,3.4,"20","ES","20-09","09",0.024,0.01,0.01223,"20","09","20-09",0.359705882352941,0.705882352941177,0.294117647058824
2020-09-24,12.2,"20","ES","20-09","09",0.237,0.005,0.01423,"20","09","20-09",0.116639344262295,1.94262295081967,0.0409836065573771
2020-09-18,8.1,"20","ES","20-09","09",0.031,0,0.0124,"20","09","20-09",0.153086419753086,0.382716049382716,0
2020-09-12,5.3,"20","ES","20-09","09",0.02,0,0.01259,"20","09","20-09",0.237547169811321,0.377358490566038,0
2020-09-06,7.9,"20","ES","20-09","09",0.026,0.002,0.01193,"20","09","20-09",0.151012658227848,0.329113924050633,0.0253164556962025
2011-09-06,1.4,"11","ES","11-09","09",0.0252,0,0,"11","09","11-09",0,1.8,0
2011-09-12,14.8,"11","ES","11-09","09",0.133,0,0.028,"11","09","11-09",0.189189189189189,0.898648648648649,0
2011-09-15,8.2,"11","ES","11-09","09",0.0796,0.002,0.017,"11","09","11-09",0.207317073170732,0.970731707317073,0.024390243902439
